feature,importance
weeks worked in year,216186.796875
detailed occupation recode,85866.484375
detailed household summary in household,85631.46875
capital gains,80643.8046875
employment_intensity,73565.234375
dividends from stocks,68888.4296875
family members under 18,57116.19140625
ratio_dividend_income,56394.921875
major occupation code,52725.484375
education,44808.93359375
detailed household and family stat,42797.3984375
age,38973.7734375
capital losses,33092.0234375
detailed industry recode,30532.138671875
marital stat,26773.40234375
wage per hour,25071.50390625
num persons worked for employer,22942.681640625
class of worker,20816.75
major industry code,16488.30078125
race,13413.18359375
reason for unemployment,12922.884765625
full or part time employment stat,12860.5498046875
member of a labor union,12616.634765625
ratio_capital_gain_wage,12132.3984375
enroll in edu inst last wk,10812.43359375
